title,text,date,source,credibility,label
رئيس الاتحاد العربي لحقوق الإنسان: نجاح البحرين في الفعاليات الدولية يؤكد مكانتها الدولية,"أكد رئيس الاتحاد العربي لحقوق الإنسان رئيس جمعية “معاً” لحقوق الإنسان، المستشار عيسى العربي، أن نجاح البحرين في إقامة الفعاليات الدولية وعلى رأسها سباقات الفورمولا 1 يؤكد ما تتمتع به البحرين من إمكانيات وطنية مرموقة، وما تحظى به المملكة من مكانة دولية تكرست بفضل جهود حضرة صاحب الجلالة الملك حمد بن عيسى آل خليفة عاهل البلاد المفدى وحكومته الرشيدة، والتي حرصت دائماً على الارتقاء بعلاقاتها الدولية، وبتعزيز مكانتها العالمية بشبكة من العلاقات الدولية القائمة على الاحترام والتقدير، والمشاركة في وضع وتنفيذ خطط التنمية الاقتصادية والإنسانية على المستوى الإقليمىة والدولي، والذي يأتي في إطار تعزيز المكانة المرموقة للبحرين على الخارطة العالمية بتنظيمها لأهم وأكبر الفعاليات الدولية بمختلف المجالات الاقتصادية والانسانية والرياضية والثقافية.

وأشار رئيس الاتحاد العربي لحقوق الإنسان بأن قدرة البحرين على تنظيم ثلاثة سباقات دولية لرياضة السيارات “فورمولا 1” خلال أقل من عام وفي ظل ظروف جائحة كوفيد 19 التي يواجهها العالم، يؤكد وبشكل كبير ما تتمتع به البحرين من إمكانيات وطنية بقيادة فريق البحرين الوطني، وما تمتلكه مؤسساتها التنفيذية من قدرة على مواجهة مختلف التحديات وتحقيق الانجازات الوطنية والعالمية، لاسيما وان سباق هذا العام الذي سيقام خلال نهاية الأسبوع يحظى بالاهتمام العالمي، ويبرز جهود مملكة البحرين في الاستجابة لجائحة كوفيد 19، وهي الجهود التي حرصت مملكة البحرين بالعام الماضي على توجيهها في إطار يسهم في تعزيز الوعي العالمي بمواجهة هذه الجائحة، وتقديم الشكر والتقدير والعرفان لجميع الجهود الطبية والانسانية والامنية التي تقدمت الصفوف الامامية في مواجهة هذه الجائحة، وهي الجهود التي حققت البحرين الريادة فيها بقراراتها التي وضعت صحة وسلامة المواطنين والمقيمين في مقدمة اولوياتها، وانتهت يتبوؤها لاعلى النسب الدولية في مجال تقديم واعتماد اللقاحات.

وأشاد المستشار العربي في تصريحه بجهود البحرين ونجاحها في الجمع بين حزمة الاجراءات الوقائية والاحترازية المتبعة، وممارسة الحياة الطبيعية دون الحاجة الى تقييد الحريات او تنفيذ سياسة الاغلاق، وهي استراتيجية نجحت البحرين فيها بشكل كبير في حين فشلت كبريات الدول في تطبيقها، وياتي تنظيم البحرين لسباق الفورمولا 1 لهذا العام بما يؤكد سلامة الاستراتيجية الوطنية التي ابتعتها الحكومة برئاسة صاحب السمو الملكي الامير سلمان بن حمد آل خليفة ولي العهد رئيس مجلس الوزراء، وحرصها على الالتزام بالقيم والمبادئ الانسانية السامية، ونشر ثقافة حقوق الانسان على المستوى الدولي، وهي القيم والمبادئ التي تحرص هذه الرياضة على تاكيد الالتزام بها، وستعى الى ابرازها كهوية ثقافية لهذه الرياضة العالمية، كما تحرص البحرين على الالتزام بها وتقديمها للعالم في اطار سعيها لتعزيز كافة الحقوق الانسانية التي تكرست بميثاق العمل الوطني الذي تحتفي البحرين بمرور عقدين على تدشينه، اضافة الى تاكيد التزاماتها الدولية المعنية بحقوق الانسان كثقافة ة بهذه الرياضة العالمية لاكثر من سبعة عشر عاماً، وكان اخرها احتفاءها باسهامات وتضحيات الصفوف الامامية في مواجهة جائحة كوفيد 19، وتعزيز قيم المساواة والعدالة الاجتماعية خلال تنظيمها لسباقي العام الماضي 2020، اضافة الى حرصها خلال سباق هذا العام 2021 على نشر وتكريس قيم التنوع والاستدامة للمحافظة على البيئة والحياة الانسانية، وتعزيز قيمة واهمية ودور المجتمعات البشرية في اثراء الحضارية الانسانية وتنفيذ خطط التنمية المستدامة التي تستهدفها الامم المتحدة وتسعى الى تنفيذها بحلو العام 2030 بجميع دول العالم.",2021-03-24T18:06:37+00:00,source_64,undecided,Suspicious
سمعة مصر ووصية السيسي لربيع.. كواليس 6 أيام من أزمة «السفينة الجانحة»,"خلال الأيام الماضية، وتحديدا منذ الثلاثاء، شهدت قناة السويس أزمة بسبب سفينة EVERGIVEN العملاقة التي جنحت بها، جراء رياح قوية، وتسببت في تعطيل الملاحة بالممر المائي، إلى أن تمكن العمال والمهندسون المصريون من تعويمها وتحريكها.

إصابات واعتقالات خلال مواجهاتٍ مع جيش الاحتلال في مُخيّم الفوار

والسفينة EVERGIVEN يبلغ طولها 400 متر وعرضها 59 مترًا وتبلغ حمولتها 224 ألف طن، وكانت في طريقها من الصين إلى روتردام.

التواصل يوميا في الخامسة صباحا

منذ الدقائق الأولى لأزمة السفينة الجانحة، كان الرئيس عبدالفتاح السيسي حاضرا في قلب الحدث، لمحاولة سرعة حلها، حيث قال خلال مؤتمر صحفي على ضفاف قناة السويس، اليوم، إنه «كنت بتصل برئيس الهيئة كل يوم والساعة 5 الصبح كنت بعرف النتائج وكنت بكلمه في أوقات غريبة الساعة 4 الصبح.. واليوم الأخير للأزمة كلمته الساعة 5 الصبح طمني إننا اتحركنا»، مضيفا: «طبعا سعيد جدا أنه بلدي بخير وسلام والمرفق رجع يشتغل بإيد رجالتنا».

وتابع: «أول لما حصلت الأزمة بقت الخبر الرئيسي بكل وكالات الأنباء العالمية، وموضوع المد والجزر، والسيناريو الأصعب كان تفريغ الحمولات وقولتلهم جهزوا نفسكو ومش مهم التكلفة».

إدارة الأزمة دون خسائر

كما أشار الرئيس إلى جهد العاملين بقناة السويس على قدم وساق خلال أيام الأزمة، حتى تنتهي الأزمة دون خسائر للسفينة أو الأرواح، موجها التحية لهم: «بشكر العاملين اللي أداروا الأزمة بكفاءة من أول رئيس الهيئة لأصغر عامل باسمي وباسم كل المصريين، لدينا إدارة وفريق عمل بهيئة قناة السويس يتمتع بخبرات تعود لـ150 سنة، بتطوراتها، وقامت قناة السويس بدور رائع وعظيم في نقل التجارة العالمية».

وصية الرئيس لأسامة ربيع

ووجه السيسي رسالة هامة لأسامة ربيع، كدروس مستفادة من واقعة السفينة، قائلا: «مهم أوي الدروس والعبر من الأزمة ولو في معدات ومستلزمات محتاجيت تبقى موجودة نوفرها، ولو في حاجة لصالح العمل تدبر بغض النظر عن الظروف أو التكلفة.. الكراكة مهاب مميش وما سبقها دي كراكات جاية علشان تساهم في قدرة الهيئة على مطالب العمل، ونفس الكلام للقاطرات».

وشدد الرئيس على رئيس هيئة قناة السويس ورئيس مجلس الوزراء: «لو محتاجين معدات تانية نتعاقد ونجيب».

رد فعل المصريين

كما تطرق الرئيس أيضا خلال حديثه بالإسماعيلية عن ردود الفعل الدولية والداخلية لأزمة، حيث قال: «المصريين كانوا متابعين بصمت وكأن ابنهم كلهم وحاجة تخصهم في أزمة.. كانوا بيساندوا بالصمت كله بيتابع ومبيتكلمش وبمجرد انتهاء الأزمة رد الفعل كان لافت أوي أد كده الناس بتحب بلدها.. محبين لبلدهم رغم المشاكل الموجودة وحريصين على بلدهم».

وأشار إلى عرض المساعدات الدولية، قائلا: «كل الأصدقاء والأشقاء كانوا داعمين للجهد وعرضوا المساعدات بكل إخلاص، وهو أمر مقر من الأشقاء في الخليج والمنطقة العربية وجميع أنحاء العالم، بنشكرهم على مساندتهم».

تحقيقات السفينة الجانحة

كما أكد السيسي أنه التحقيقات الخاصة بحادث السفينة البنمية هو أمر متروك لهيئة قناة السويس والجهات المعنية، مشددا على أنه لن يكون هناك تدخل، ولكن سيكون هناك تحقيقات من فنيين متخصصين، كونه أمر فني وقانوني.

سمعة مصر

وبالأمس، كشف الفريق أسامة ربيع، رئيس هيئة قناة السويس، جانبا من كواليس الأزمة، وهي أن الرئيس عبد الفتاح السيسي، كان مفتاح حل أزمة السفينة البنمية، حيث تواصل معه منذ أول يوم للحادث، مؤكدا: «قال سمعة مصر في رقبتك أنت ورجالة قناة السويس، ونقلت الكلمة دي للناس كلها، وقلت لهم مش هنتحرك من مكاننا قبل إنهاء الأزمة».

وأوضح أن الرئيس كان يتابع يوميا معه أزمة السفينة، بقوله: «كان متابع دقيقة بدقيقة وكان بيتصل بيا مرتين أو ثلاث مرات، كان بياخد تفاصيل دقيقة جدا بالأرقام والصور والحسابات، أقوله يا فندم إحنا هنطمن سيادتك على طول يرد يقول قولي بس قولي الخطوات اللي عملتوها.. الرئيس مش بينام وأبلغته في الساعة الخامسة فجر اليوم بتعويم 80% من السفينة الجانحة، وقالي ألف مبروك اشكر لي الناس كلها».

استعدادات لكل السيناريوهات

ولفت إلى أن الرئيس كان يُتابع معه كافة التفاصيل الخاصة بها لحظة بلحظة، موضحا: «عرضت على الرئيس 3 سيناريوهات لحل الأزمة، ليرد هل السيناريوهات متاحة الآن، وفورًا أدوات السيناريو الثالث يكونوا جنبك، سواء هستخدمهم أو مش هتستخدمهم، عشان البضاعة اللي موجودة في السفن المتوقفة بسبب الحادث، مش عاوزين نشوف مراكب متكدسة ونحل الأزمة بأسرع وقت».

استخدام قاطرات مصرية حديثة

وأوضح أن الهيئة وجهت 5 قاطرات يوم الحادث ثم ارتفع العدد إلى 12 في اليوم الثالث، ووصلت أيضا قاطرتين من هولندا وإيطاليا، بالإضافة إلى قاطرتين ساعدا في عملية تعويم السفينة من صناعة مصر، «اتصنعوا في ترسانة برسعيد، وأول من استعملوها هم عبدالحميد يوسف ومصطفى محمود»، وحققا نجاحا.",2021-03-30T15:50:42+02:00,source_84,undecided,Suspicious
بايدن والسود,"توجد أسباب كثيرة تفسر فوز ""جو بايدن"" بالانتخابات الرئاسيّة في نوفمبر، ولكن من الواضح أن الانتماء العرقيّ أحد هذه الأسباب. زاد معدل مشاركة الناخبين السود في 2020 مقارنة بعام 2016 و87 بالمائة منهم صوتوا لصالح ""بايدن"". كان لهذا أهمية خاصة في الولايات الحاسمة، مثل جورجيا، حيث يشكل السود ثلث عدد السكان، ولكنهم مثلوا أكثر من نصف عدد أصوات الديمقراطيّين. وقد صدق هذا على نحو خاص بين النساء السود، واللائي كن أشد مجموعات الناخبين إخلاصًا لـ ""بايدن"". إذ ننتقل من الانتخابات إلى الحكم، تصير الأسئلة الأساسيّة هي: ماذا يريد هؤلاء الناخبين وكيف ستستجيب الإدارة الجديدة؟ تقويم المظالم العرقيّة لا شك أنه أولوية ولكن ما موقعها من القائمة؟",2021-02-14T00:00:00,source_88,undecided,Suspicious
صحف إيران تغطي ملحمة الانتخابات.. وظواهرها الساخرة,"قلبت الصحف الايرانية المحافظة الحقائق بعد فوز المحافظ المتشدد إبراهيم رئيسي بالانتخابات الرئاسية، وحاولت تصوير الانتخابات الاخيرة على أنها ""فجر جديد"" يبزغ في ايران، فيما عدّت المشاركة في الاقتراع التي لم تتخطَ الـ50 % على أنها ""مشاركة ملحمية""، بينما أبدت المعتدلة والإصلاحية تحفظات على تعزيز امساك المحافظين بمختلف هيئات الحكم. وأبدت ""جمهوري إسلامي"" المعتدلة هواجس من تعزيز نفوذ المحافظين في السلطات الثلاث: التنفيذية (رئيس الجمهورية)، والتشريعية (مجلس الشورى الذي يهيمن عليه المحافظون)، والقضائية. وكتبت: ""الآن باتت السلطات الثلاث، إضافة الى مجلس صيانة الدستور، القوات المسلحة وأجزاء أخرى من النظام (السياسي) بيد طرف واحد"". وأضافت بنبرة ساخرة: ""نحن شعب إيران، كنا ندين للتيار المحافظ بحكومة متجانسة، وهذا ما تحقق الآن في هذه الانتخابات (...) سدّد الناس دَينهم"". وكان فوز رئيسي متوقعا بغياب منافسين جديين بعد استبعاد مجلس صيانة الدستور أسماء بارزة من المنافسة. وبلغت نسبة المشاركة 48,8 بالمئة وفق أرقام وزارة الداخلية، وهي الأدنى في تاريخ الاستحقاقات الرئاسية للجمهورية الإسلامية (اعتبارا من عام 1979). على المقلب الآخر، أشادت صحيفة ""رسالت"" المحافظة على صفحتها الأولى بـ""بزوغ فجر جديد"" في إيران غداة فوز رئيسي (60 عاما) بالانتخابات التي أجريت الجمعة، بنيله نحو 62 بالمئة من أصوات المقترعين. وأتت الانتخابات في خضم أزمة اقتصادية واجتماعية تعود أساسا الى العقوبات التي أعادت واشنطن فرضها على طهران، بعد انسحاب الولايات المتحدة أحاديا عام 2018، من الاتفاق المبرم قبل ثلاثة أعوام بشأن برنامج إيران النووي. على رغم ذلك، رأت ""كيهان"" المحافظة أن المشاركة ""كانت أعلى مما توقعته استطلاعات الرأي والمحللون"". وقالت إن النسبة ""ملحمية"" اذا ما أخذت في الاعتبار الصعوبات الاقتصادية و""دعاية العدو""، في إشارة لحملات معارضي الخارج للامتناع عن التصويت. ورأت ""كيهان"" أن من دعوا الناس لعدم المشاركة كانوا ""الخاسرين الأساسيين"". في المقابل، طرحت الصحف الإصلاحية أسئلة حول العدد الكبير من الأصوات اللاغية الذي كان أعلى مما حصل عليه أي من المنافسين الثلاثة لرئيسي. ودعت صحيفة ""آرمان ملي"" رئيسي الى ""توفير الثقة لـ70 بالمئة"" من الناخبين الذين صوّتوا لمنافسيه، أو امتنعوا، أو اقترعوا عمدا بطريقة تجعل أصواتهم لاغية كوسيلة احتجاج. كما أبرزت أهمية أن يركز الرئيس الجديد على السياسة الخارجية ورفع العقوبات الأميركية. وأتاح الاتفاق النووي الذي أبرم في عهد روحاني، رفع العديد من العقوبات التي كانت مفروضة على إيران، في مقابل خفض أنشطتها النووية. لكن مفاعيله باتت مجمّدة تقريبا مذ قرر الرئيس الأميركي السابق دونالد ترامب سحب بلاده منه وإعادة فرض العقوبات. وأتت الانتخابات بينما تخوض طهران وأطراف الاتفاق، بمشاركة أميركية غير مباشرة، مباحثات في فيينا سعيا لإحيائه بشكل يضمن رفع العقوبات، وعودة إيران لاحترام كامل التزاماتها بموجبه، بعدما تراجعت عن غالبيتها تدريجيا بعد الانسحاب الأميركي.",2021-06-20T00:00:00,source_39,credible,Real
توخيل: الجوع طريق الفوز على ريال مدريد,"توخيل: الجوع طريق الفوز على ريال مدريد

طالب توماس توخيل مدرب تشيلسي لاعبيه بالجوع من أجل تحقيق الفوز على حساب ريال مدريد في نصف نهائي دوري الأبطال الأوروبي.

مدرب النادي الأزرق اللندني قال في مؤتمر صحافي: “بالنسبة للإصابات، فلن يغيب سوى ماتيو كوفاسيتش، الباقي جاهز. فزنا على وست هام، قبل مباراة هامة في دوري الأبطال، وهذا أمر جيد، وغدا ضد ريال مدريد نحتاج لأداء جماعي مميز”.

وأردف “في كل مباراة، نستطيع تقديم أفضل ما لدينا حتى لو لم نلعب أجمل كرة قدم، يمكننا منع منافسنا من لعب كرة قدم جيدة. أريد أن ندخل المباراة ونحن جائعين”.

وأكمل: “ثق في يويفا والتحكيم، بالتأكيد سيرسلون أفضل الحكام، أثق فيهم بنسبة 100%”.

وأكد “علينا أن نحافظ على مستوانا، أثق في هذه المجموعة من اللاعبين. ربما أن رجل محظوظ، بدأت التدريب من مرحلة الأكاديميات والآن أنا أواجه ريال مدريد في نصف نهائي دوري أبطال أوروبا”.

وكشف “لا يعجبني النظام الجديد لدوري أبطال أوروبا”.

وأردف “أفضل طريقة للفوز هي أن نلعب بطريقتنا، ونعتمد على أنفسنا ونقاط قوتنا”.

وأوضح “هازارد لاعب رائع، وكان عظيما لسنوات في هذا النادي. أحترمه بشدة، لو لعب المباراة بالتأكيد سيريد إثبات شيء”.

وختم “الجمهور الإنجليزي المحايد يريد رؤيتنا نفشل بسبب انضمامنا لدوري السوبر؟ كلنا نرتكب أخطاء، على البعض اتخاذ قرارات قد لا يحبها أو يفهمها البعض، ولكن هذا لا يغير من كرة القدم”.",2021-04-27T13:36:28+00:00,source_64,undecided,Suspicious
ما الفكرة التي لم تذكر في النص السابق,"ما الفكرة التي لم تذكر في النص السابق

بالتفوق والنجاح لكل طلاب وطالبات المملكة العربية السعودية يسرنا مشاركتكم ودخولكم على موقعنا« موقعنا» يسعدنا اليوم وبكل معاني الحب والاحترام أن نتناول معكم حل سؤال مهم وجديد من الأسئلة الواردة ضمن مناهجكم التعليمية ، وسوف نبينه هنا لكم في هذا المقال ونوافيكم بالحل الصحيح لهذا السؤال:

ما الفكرة التي لم تذكر في النص السابق

على (موقعنا) نقدم لكم إجابة هذا السؤال ، والذي يعد من أسئلة المناهج الدراسية، حيث ونحن نوفر جميع الأسئلة لكافة الفصول الدراسية، في جميع المواد الدراسية،

ما الفكرة التي لم تذكر في النص السابق

الأجابة كالتالي

الأنواع المختلفة للفحم الحجري.",2021-06-25T03:27:21+00:00,source_65,not credible,Fake
بيانات «الصحة» تكشف تراجع نسب شفاء مرضى كورونا لـ 73.6%,"كشفت بيانات وزارة الصحة والسكان، تراجع نسب شفاء مرضى فيروس كورونا المستجد «كوفيد-19»، في المستشفيات إلى 73.6%، بعدما كانت النسبة تزيد عن 92% في الأسابيع السابقة، وذلك وفقا لإجمالي الأعداد الرسمية المعلنة.

كانت وزارة الصحة والسكان، قد أعلنت، صباح اليوم الأربعاء 19 مايو، مغادرة 669 متعافيًا من فيروس كورونا للمستشفيات، بعد تلقيهم الرعاية الطبية اللازمة وتمام شفائهم وفقًا لإرشادات منظمة الصحة العالمية، ليرتفع إجمالي المتعافين من الفيروس إلى 182693 حالة.

اقرأ أيضا|«الصحة» تشيد بجهود التموين الطبي لتوفير مساعدات للأشقاء في فلسطين خلال 24 ساعة

وأوضح مساعد وزيرة الصحة والسكان للإعلام والتوعية، والمتحدث الرسمي للوزارة د.خالد مجاهد، أنه تم تسجيل 1169 حالات جديدة ثبتت إيجابية تحاليلها معمليًا للفيروس، وذلك ضمن إجراءات الترصد والتقصي والفحوصات اللازمة التي تُجريها الوزارة وفقًا لإرشادات منظمة الصحة العالمية، لافتًا إلى وفاة 53 حالة جديدة.

وقال «مجاهد» إنه طبقًا لتوصيات منظمة الصحة العالمية الصادرة في 27 مايو 2020، فإن زوال الأعراض المرضية لمدة 10 أيام من الإصابة يعد مؤشرًا لتعافي المريض من فيروس كورونا.

وذكر “مجاهد” أن إجمالي العدد الذي تم تسجيله في مصر بفيروس كورونا المستجد حتى الثلاثاء، هو 248078 من ضمنهم 182693 حالة تم شفاؤها، و 14441 حالة وفاة.

وتواصل وزارة الصحة والسكان رفع استعداداتها بجميع محافظات الجمهورية، ومتابعة الموقف أولاً بأول بشأن فيروس “كورونا المستجد”، واتخاذ كافة الإجراءات الوقائية اللازمة ضد أي فيروسات أو أمراض معدية، كما قامت الوزارة بتخصيص عدد من وسائل التواصل لتلقي استفسارات المواطنين بشأن فيروس كورونا المستجد والأمراض المعدية، منها الخط الساخن “105”، و”15335″ ورقم الواتساب “01553105105”، بالإضافة إلى تطبيق “صحة مصر” المتاح على الهواتف.",2021-05-19T02:57:03+00:00,source_65,not credible,Fake
إصابات واعتقالات خلال مواجهاتٍ مع جيش الاحتلال في مُخيّم الفوار,"اندلعت مواجهات عنيفة، ظهر اليوم الأربعاء 3 آذار/ مارس، في مُخيّم الفوار للاجئين الفلسطينيين جنوب الخليل بالضفة المحتلة على إثر اقتحام قوات الاحتلال للمُخيّم.

وأفادت مصادر محليّة، بأنّ شاباً من المُخيّم أصيب جراء إطلاق النار عليه من قِبل قوات الاحتلال خلال المواجهات، فيما بيّنت جمعية الهلال الأحمر الفلسطيني في بيانٍ مقتضبٍ لها، أنّ طواقمها تعاملت مع إصابة بالرصاص الحي بالفخذ لشاب عمره (22 عاماً)، عقب اقتحام قوات الاحتلال للمُخيّم، نقل على إثرها إلى مستشفى يطا الحكومي.

وفي السياق، قالت مصادر أخرى إنّ الشاب المُصاب هو أيهم عصام البدوي، فيما أصيب شابٌ آخر هو صهيب خالد شعبان الخطيب، مُشيرةً إلى أنّ جنود الاحتلال اعتقلوا الشاب علاء أبو هشهش خلال المواجهات الدائرة في المُخيّم.

ويضيّق الاحتلال الخناق على أهالي مُخيّم الفوار، ويغلق بوتيرة شبه يوميّة بوابة الحديد المنصوبة عند المدخل الوحيد للمُخيّم في محاولة منه لتهجير السكان من داخل المُخيّم.",2021-03-03T13:15:00+02:00,source_61,credible,Real
“مجتهد”: السلطات السعودية وضعت سوار تعقب بقدم العريفي,"سواليف

قال الحساب الشهير “مجتهد” إن السلطات السعودية وضعت سوارا للتعقب في قدم الداعية محمد العريفي.

وغرّد “مجتهد”: “ادعو للشيخ العريفي وضعه النفسي سيئ جدا، وصودرت حساباته في السوشيال ميديا، وهي تحت تصرف المباحث”.

وأضاف: “وضع في ساقه سوار التتبع، وألزم بتحديد تحركاته، والاستئذان لأي تنقل غير روتيني”.

وتابع: “وضع في منزله وسيارته أجهزة تجسس، وكل كلامه مرصود للمباحث، إضافة إلى أنه يستدعى كثيرا للمباحث فقط من أجل إهانته وإذلاله”.

وكانت حسابات تحدثت سابقا أن السلطات السعودية منعت العريفي من الخطابة، واعتقلت أحد أبنائه.

يشار إلى أن حساب العريفي في “تويتر”، المتابع من قبل نحو 20 مليونا، توقف عن التغريد بشكل منتظم منذ نهاية 2018، ونشر في العام 2019 تغريدة واحدة فقط، فيما لم ينشر أي تغريدة منذ ذلك الحين.",2021-02-16T06:50:07+00:00,source_91,credible,Real
متخصصون: اللعب فطرة والحرمان منه يعوق تطور الطفل,"المصدر: دبي - نورا الأمير

يجسّد شعار الاحتفال بيوم الطفل الإماراتي لهذا العام «حق اللعب» أهمية اللعب ودوره في حياة الطفل كأحد الاحتياجات الأساسية، نظراً لفوائده الكثيرة على صعيد التنشئة، والنمو العقلي، والاجتماعي، والنفسي، والتعليمي.

وأجمع مختصون جمعت «البيان» آراءهم على أن اللعب فطرة والحرمان منه يعوق تطور الطفل، وحرص المشرع الإماراتي على إيلاء هذا الجانب أهمية كبيرة، باعتباره حقاً أصيلاً، فوضع الضوابط والتشريعات المعززة لضمان حق الطفل في النماء والبقاء والحياة الآمنة المستقرة.

مهارات

وتؤكد موزة الشومي نائب رئيس جمعية الإمارات لحماية الطفل أن حق الطفل في اللعب جاء جلياً في المادة 30 من قانون الطفل وديمة والتي نصت على تشكيل مجالس وجمعيات ونوادي أطفال تختص بتنميتهم فكرياً وبدنياً وثقافياً وفنياً فضلاً عن جوانب أخرى، مشيرة إلى أن هذه المادة تعطي الطفل حقه في اللعب والانتساب لأندية على اختلاف مجالاتها.

وأوضحت أن الحق باللعب مفهوم فضفاض وواسع وليس المقصود منه مجرد لعب ببعض الدمى بل يمتد ليشمل حقه في أنشطة وألعاب يمارسها في النوادي والمراكز وهذه نقطة مهمة للانطلاق وعدم حجره بحيز محدد لأن اللعب يزود الطفل مجموعة مهارات تعزز نموه الجسدي والنفسي وصحته البدنية وقدراته.

سلوكيات

وعدّ الدكتور أحمد العموش من جامعة الشارقة أن اللعب ضرورة في حياة الطفل كونه يساعد على تشكيل سلوكيات إيجابية لديه كما يتعلم من خلال اللعب النظام والعمل بروح الجماعة واحترامها، بينما الألعاب الافتراضية تجعله أنانياً يميل إلى العزلة وتتنامى لديه مشاعر العدائية وكره الآخرين، مضيفاً إن اللعب يؤثر في نمو الطفل جسدياً وعاطفياً ونفسياً ويعزز تقدير الذات لديه وهو عملية إيجابية، لافتاً إلى طغيان الألعاب الافتراضية مقابل الألعاب التي تمارس مع الأقران في الحدائق أو المدارس والنوادي والأحياء .

أما المستشارة النفسية والأسرية هيام أبو مشعل فترى أن توفير حقوق الأطفال يساهم في تنشئتهم سليمين فكرياً ونفسياً واجتماعياً، مشيرة إلى أن اللعب يعد من أهم الحقوق التي يجب توفيرها للأطفال لما له من تأثير في التطور الاجتماعي والعاطفي وفي تطوير أنماط السلوك عند الطفل باعتباره جزءاً من البناء العقلي والجسمي.

وقالت إن اللعب الحر غير المقيد يساهم في بناء شخصية الأطفال وينمي لديهم الانطلاق نحو الحرية والتعبير العفوي عن احتياجاتهم واللذين يظهرونهما في أوقات اللعب ويستكشفون العالم الذي يعيشون فيه ويعمل اللعب على تطوير المهارات والقدرة على ضبط الانفعال والتوازن العاطفي .

تابعوا أخبار الإمارات من البيان عبر غوغل نيوز",2021-03-16T00:00:00,source_109,undecided,Suspicious
"""فيتش"" تصنف قناة السويس للتأمين الأفضل تجارياً في السوق المصري","كتب : اهل مصر

قالت وكالة ""فيتش"" للتصنيف الائتماني العالمية، إنها صنفت الملف التجاري لشركة قناة السويس للتأمين كالأفضل مقارنة بباقي شركات التأمين المصرية الأخرى.

وذكرت ""فيتش"" في تقرير صادر اليوم الخميس، أن ذلك يعكس تقييم الوكالة للوضع التنافسي الملائم، وملف مخاطر الأعمال المعتدل، والتنويع المناسب.

وأشارت الوكالة، إلى أن ""قناة السويس للتأمين"" تمتلك نطاق تشغيلي محدد، بقيمة مليار جنيه (52 مليون يورو) من إجمالي أقساط التأمين المكتتبة خلال 2020.

وألمحت الوكالة، إلى أن سوق التأمين المصري مجزأ إلى حد كبير، حيث تمتلك مصر للتأمين -أكبر شركة تأمين والتي تعود ملكيتها للدولة- 48.5 بالمائة من إجمالي السوق بنهاية النصف الأول من 2019.",2021-04-08T18:30:29,source_23,credible,Real
